ARHGEF1
ARID1A
B2M
BCL10
BCL2
BRD2
BTG1
BTG2
CARD11
CCND3
CD58
CD79A
CD79B
CDKN2A-p14
CDKN2A-p16
CDKN2A-p16-p14
CIITA
CREBBP
CTBP2
DDX3X
DTX1
EBF1
EGFR
EP300
EZH2
FAS
FOXO1
GNA13
HIST1H1C
HIST1H1E
ID3
IKBKB
IRF4
IRF8
KDM2B
KLHL6
KMT2C
KMT2D
LAPTM5
MEF2B
MFHAS1
MS4A1
MTOR
MYC
MYD88
NFKBIA
NFKBIE
NFKBIZ
NOTCH1
NOTCH2
P2RY8
PIK3CD
PIM1
PRDM1
PRKCB
PTEN
RHOA
S1PR2
SGK1
SOCS1
STAT3
STAT6
TBL1XR1
TCF3
TET2
TNFAIP3
TNFRSF11A
TNFRSF14
TP53
TRAF3
XPO1
ZFP36L1
ZNF292
